accuracy,corpus_count,min_count,n_epochs,vector_size,window
0.131481481481481,999,10,10,30,5
0.424814814814815,999,10,30,30,5
0.503333333333333,999,10,50,30,5
0.130740740740741,999,10,10,30,10
0.422962962962963,999,10,30,30,10
0.514074074074074,999,10,50,30,10
0.135185185185185,999,10,10,100,5
0.4,999,10,30,100,5
0.508148148148148,999,10,50,100,5
0.123333333333333,999,10,10,100,10
0.387037037037037,999,10,30,100,10
0.50962962962963,999,10,50,100,10
0.135555555555556,999,10,10,300,5
0.35962962962963,999,10,30,300,5
0.502222222222222,999,10,50,300,5
0.124074074074074,999,10,10,300,10
0.345185185185185,999,10,30,300,10
0.511111111111111,999,10,50,300,10
0.138888888888889,999,30,10,30,5
0.174444444444444,999,30,30,30,5
0.354444444444444,999,30,50,30,5
0.131851851851852,999,30,10,30,10
0.177407407407407,999,30,30,30,10
0.34962962962963,999,30,50,30,10
0.14962962962963,999,30,10,100,5
0.17,999,30,30,100,5
0.331481481481481,999,30,50,100,5
0.145925925925926,999,30,10,100,10
0.176296296296296,999,30,30,100,10
0.347777777777778,999,30,50,100,10
0.142962962962963,999,30,10,300,5
0.167407407407407,999,30,30,300,5
0.304444444444445,999,30,50,300,5
0.13,999,30,10,300,10
0.180740740740741,999,30,30,300,10
0.312962962962963,999,30,50,300,10
0.131851851851852,999,50,10,30,5
0.137037037037037,999,50,30,30,5
0.195925925925926,999,50,50,30,5
0.135185185185185,999,50,10,30,10
0.134814814814815,999,50,30,30,10
0.189259259259259,999,50,50,30,10
0.13037037037037,999,50,10,100,5
0.132962962962963,999,50,30,100,5
0.19962962962963,999,50,50,100,5
0.13037037037037,999,50,10,100,10
0.141111111111111,999,50,30,100,10
0.197777777777778,999,50,50,100,10
0.130740740740741,999,50,10,300,5
0.141111111111111,999,50,30,300,5
0.181111111111111,999,50,50,300,5
0.131851851851852,999,50,10,300,10
0.137407407407407,999,50,30,300,10
0.192592592592593,999,50,50,300,10
0.631111111111111,9999,10,10,30,5
0.507407407407407,9999,10,30,30,5
0.437407407407407,9999,10,50,30,5
0.618888888888889,9999,10,10,30,10
0.451111111111111,9999,10,30,30,10
0.398518518518518,9999,10,50,30,10
0.631111111111111,9999,10,10,100,5
0.537037037037037,9999,10,30,100,5
0.491851851851852,9999,10,50,100,5
0.616296296296296,9999,10,10,100,10
0.502962962962963,9999,10,30,100,10
0.445555555555556,9999,10,50,100,10
0.627407407407407,9999,10,10,300,5
0.541111111111111,9999,10,30,300,5
0.512222222222222,9999,10,50,300,5
0.612592592592593,9999,10,10,300,10
0.505555555555556,9999,10,30,300,10
0.475925925925926,9999,10,50,300,10
0.613703703703704,9999,30,10,30,5
0.472592592592593,9999,30,30,30,5
0.439259259259259,9999,30,50,30,5
0.591481481481481,9999,30,10,30,10
0.467037037037037,9999,30,30,30,10
0.414814814814815,9999,30,50,30,10
0.606296296296296,9999,30,10,100,5
0.505925925925926,9999,30,30,100,5
0.48037037037037,9999,30,50,100,5
0.58962962962963,9999,30,10,100,10
0.494814814814815,9999,30,30,100,10
0.464074074074074,9999,30,50,100,10
0.606666666666667,9999,30,10,300,5
0.495185185185185,9999,30,30,300,5
0.485185185185185,9999,30,50,300,5
0.583703703703704,9999,30,10,300,10
0.488888888888889,9999,30,30,300,10
0.46037037037037,9999,30,50,300,10
0.61037037037037,9999,50,10,30,5
0.492962962962963,9999,50,30,30,5
0.455925925925926,9999,50,50,30,5
0.577777777777778,9999,50,10,30,10
0.467407407407407,9999,50,30,30,10
0.415555555555556,9999,50,50,30,10
0.600740740740741,9999,50,10,100,5
0.505555555555556,9999,50,30,100,5
0.481111111111111,9999,50,50,100,5
0.57962962962963,9999,50,10,100,10
0.48,9999,50,30,100,10
0.455925925925926,9999,50,50,100,10
0.604444444444444,9999,50,10,300,5
0.496666666666667,9999,50,30,300,5
0.482592592592593,9999,50,50,300,5
0.576296296296296,9999,50,10,300,10
0.485555555555556,9999,50,30,300,10
0.459259259259259,9999,50,50,300,10
0.571481481481481,29997,10,10,30,5
0.462222222222222,29997,10,30,30,5
0.426666666666667,29997,10,50,30,5
0.521111111111111,29997,10,10,30,10
0.425555555555556,29997,10,30,30,10
0.397777777777778,29997,10,50,30,10
0.578148148148148,29997,10,10,100,5
0.485925925925926,29997,10,30,100,5
0.455185185185185,29997,10,50,100,5
0.537037037037037,29997,10,10,100,10
0.45037037037037,29997,10,30,100,10
0.417037037037037,29997,10,50,100,10
0.572222222222222,29997,10,10,300,5
0.495185185185185,29997,10,30,300,5
0.458518518518518,29997,10,50,300,5
0.53962962962963,29997,10,10,300,10
0.477407407407407,29997,10,30,300,10
0.424074074074074,29997,10,50,300,10
0.52,29997,30,10,30,5
0.460740740740741,29997,30,30,30,5
0.425185185185185,29997,30,50,30,5
0.502222222222222,29997,30,10,30,10
0.427037037037037,29997,30,30,30,10
0.372962962962963,29997,30,50,30,10
0.532592592592593,29997,30,10,100,5
0.472962962962963,29997,30,30,100,5
0.448888888888889,29997,30,50,100,5
0.515925925925926,29997,30,10,100,10
0.437037037037037,29997,30,30,100,10
0.391851851851852,29997,30,50,100,10
0.543703703703704,29997,30,10,300,5
0.467777777777778,29997,30,30,300,5
0.441481481481481,29997,30,50,300,5
0.514074074074074,29997,30,10,300,10
0.455925925925926,29997,30,30,300,10
0.41037037037037,29997,30,50,300,10
0.524444444444444,29997,50,10,30,5
0.455925925925926,29997,50,30,30,5
0.418888888888889,29997,50,50,30,5
0.485185185185185,29997,50,10,30,10
0.422962962962963,29997,50,30,30,10
0.372222222222222,29997,50,50,30,10
0.522592592592593,29997,50,10,100,5
0.481111111111111,29997,50,30,100,5
0.440740740740741,29997,50,50,100,5
0.501481481481482,29997,50,10,100,10
0.444444444444444,29997,50,30,100,10
0.395925925925926,29997,50,50,100,10
0.522592592592593,29997,50,10,300,5
0.471111111111111,29997,50,30,300,5
0.438148148148148,29997,50,50,300,5
0.49962962962963,29997,50,10,300,10
0.454074074074074,29997,50,30,300,10
0.393333333333333,29997,50,50,300,10
0.5,90000,10,10,30,5
0.437037037037037,90000,10,30,30,5
0.415555555555556,90000,10,50,30,5
0.477777777777778,90000,10,10,30,10
0.385185185185185,90000,10,30,30,10
0.365925925925926,90000,10,50,30,10
0.534814814814815,90000,10,10,100,5
0.453333333333333,90000,10,30,100,5
0.438148148148148,90000,10,50,100,5
0.495555555555556,90000,10,10,100,10
0.407037037037037,90000,10,30,100,10
0.383333333333333,90000,10,50,100,10
0.528518518518519,90000,10,10,300,5
0.46,90000,10,30,300,5
