accuracy,corpus_count,dm,min_count,n_epochs,sample,vector_size,window
0.692222222222222,72450,True,10,10,0.0001,100,5
0.674074074074074,72450,True,10,10,0.0001,100,15
0.678888888888889,72450,True,10,10,0.0001,300,5
0.683703703703704,72450,True,10,10,0.0001,300,15
0.687777777777778,72450,True,50,10,0.0001,100,5
0.678518518518519,72450,True,50,10,0.0001,100,15
0.693333333333333,72450,True,50,10,0.0001,300,5
0.688518518518519,72450,True,50,10,0.0001,300,15
0.687407407407407,72450,True,100,10,0.0001,100,5
0.682962962962963,72450,True,100,10,0.0001,100,15
0.685185185185185,72450,True,100,10,0.0001,300,5
0.69,72450,True,100,10,0.0001,300,15
0.68037037037037,72450,True,10,10,1E-05,100,5
0.674444444444444,72450,True,10,10,1E-05,100,15
0.678518518518519,72450,True,10,10,1E-05,300,5
0.662962962962963,72450,True,10,10,1E-05,300,15
0.696666666666667,72450,True,50,10,1E-05,100,5
0.678148148148148,72450,True,50,10,1E-05,100,15
0.687037037037037,72450,True,50,10,1E-05,300,5
0.670740740740741,72450,True,50,10,1E-05,300,15
0.68,72450,True,100,10,1E-05,100,5
0.65962962962963,72450,True,100,10,1E-05,100,15
0.678148148148148,72450,True,100,10,1E-05,300,5
0.661111111111111,72450,True,100,10,1E-05,300,15
0.67037037037037,72450,True,10,10,1E-06,100,5
0.616666666666667,72450,True,10,10,1E-06,100,15
0.667777777777778,72450,True,10,10,1E-06,300,5
0.624814814814815,72450,True,10,10,1E-06,300,15
0.656296296296296,72450,True,50,10,1E-06,100,5
0.613703703703704,72450,True,50,10,1E-06,100,15
0.658888888888889,72450,True,50,10,1E-06,300,5
0.616296296296296,72450,True,50,10,1E-06,300,15
0.662592592592593,72450,True,100,10,1E-06,100,5
0.611111111111111,72450,True,100,10,1E-06,100,15
0.65037037037037,72450,True,100,10,1E-06,300,5
0.614074074074074,72450,True,100,10,1E-06,300,15
0.603703703703704,72450,False,10,10,0.0001,100,5
0.611851851851852,72450,False,10,10,0.0001,100,15
0.6,72450,False,10,10,0.0001,300,5
