accuracy,corpus_count,dm,min_count,n_epochs,sample,vector_size,window
0.9475308641975309,6478,True,1,10,0.0001,100,5
0.9429012345679012,6478,True,1,10,0.0001,100,15
0.9475308641975309,6478,True,1,10,0.0001,300,5
0.941358024691358,6478,True,1,10,0.0001,300,15
0.9290123456790124,6478,True,5,10,0.0001,100,5
0.9251543209876543,6478,True,5,10,0.0001,100,15
0.9313271604938271,6478,True,5,10,0.0001,300,5
0.9290123456790124,6478,True,5,10,0.0001,300,15
0.9112654320987654,6478,True,15,10,0.0001,100,5
0.9012345679012346,6478,True,15,10,0.0001,100,15
0.9097222222222222,6478,True,15,10,0.0001,300,5
0.8973765432098766,6478,True,15,10,0.0001,300,15
0.8595679012345679,6478,True,50,10,0.0001,100,5
0.8487654320987654,6478,True,50,10,0.0001,100,15
0.8580246913580247,6478,True,50,10,0.0001,300,5
0.8526234567901234,6478,True,50,10,0.0001,300,15
0.9506172839506173,6478,True,1,10,1e-05,100,5
0.9444444444444444,6478,True,1,10,1e-05,100,15
0.9452160493827161,6478,True,1,10,1e-05,300,5
0.9390432098765432,6478,True,1,10,1e-05,300,15
0.9305555555555556,6478,True,5,10,1e-05,100,5
0.9143518518518519,6478,True,5,10,1e-05,100,15
0.9251543209876543,6478,True,5,10,1e-05,300,5
0.9128086419753086,6478,True,5,10,1e-05,300,15
0.8958333333333334,6478,True,15,10,1e-05,100,5
0.8827160493827161,6478,True,15,10,1e-05,100,15
0.8881172839506173,6478,True,15,10,1e-05,300,5
0.875,6478,True,15,10,1e-05,300,15
0.8148148148148148,6478,True,50,10,1e-05,100,5
0.8148148148148148,6478,True,50,10,1e-05,100,15
0.8070987654320988,6478,True,50,10,1e-05,300,5
0.7993827160493827,6478,True,50,10,1e-05,300,15
0.9112654320987654,6478,True,1,10,1e-06,100,5
0.8472222222222222,6478,True,1,10,1e-06,100,15
0.8804012345679012,6478,True,1,10,1e-06,300,5
0.8186728395061729,6478,True,1,10,1e-06,300,15
0.8233024691358025,6478,True,5,10,1e-06,100,5
0.779320987654321,6478,True,5,10,1e-06,100,15
0.8101851851851852,6478,True,5,10,1e-06,300,5
0.7654320987654321,6478,True,5,10,1e-06,300,15
0.7368827160493827,6478,True,15,10,1e-06,100,5
0.7083333333333334,6478,True,15,10,1e-06,100,15
0.7229938271604939,6478,True,15,10,1e-06,300,5
0.6790123456790124,6478,True,15,10,1e-06,300,15
0.6828703703703703,6478,True,50,10,1e-06,100,5
0.6504629629629629,6478,True,50,10,1e-06,100,15
0.6712962962962963,6478,True,50,10,1e-06,300,5
0.6126543209876543,6478,True,50,10,1e-06,300,15
